|e_P|;	|e_N|;	N;	theoretical bias;	practical bias;	position of e_P in L;	\hat{f}(e_P);	\hat{f}(L[0]);	\hat{f}(L[1])
1;	41;	21521;	0.488854;	0.487803;	14;	414;	482;	476
4;	38;	21678;	0.483625;	0.480118;	4944;	243;	533;	485
2;	40;	21726;	0.487291;	0.488815;	3184;	258;	470;	452
5;	37;	21668;	0.481493;	0.476832;	0;	550;	550;	482
10;	32;	21578;	0.467133;	0.462184;	0;	756;	756;	464
4;	38;	21497;	0.483625;	0.485603;	281;	336;	468;	450
1;	41;	22039;	0.488854;	0.488089;	5973;	237;	581;	469
4;	38;	21769;	0.483625;	0.479627;	68;	375;	505;	493
3;	39;	21524;	0.485553;	0.482113;	205;	344;	480;	468
4;	38;	21600;	0.483625;	0.480093;	10;	426;	494;	474
3;	39;	21500;	0.485553;	0.487395;	1449;	285;	459;	453
6;	36;	21507;	0.479139;	0.477984;	3;	446;	482;	460
4;	38;	21776;	0.483625;	0.481264;	0;	464;	464;	464
2;	40;	21905;	0.487291;	0.485414;	191;	351;	463;	437
4;	38;	21764;	0.483625;	0.487319;	2093;	274;	518;	496
4;	38;	21947;	0.483625;	0.482344;	825;	308;	474;	472
7;	35;	21440;	0.476545;	0.477845;	0;	582;	582;	464
2;	40;	21743;	0.487291;	0.491009;	104043;	87;	483;	479
2;	40;	21561;	0.487291;	0.488104;	2157;	273;	475;	473
2;	40;	21620;	0.487291;	0.491628;	7269;	228;	452;	448
2;	40;	21532;	0.487291;	0.489736;	835;	308;	500;	492
5;	37;	21588;	0.481493;	0.485270;	20;	405;	463;	459
4;	38;	21590;	0.483625;	0.486568;	3638;	255;	471;	449
3;	39;	21777;	0.485553;	0.484272;	87;	371;	511;	507
3;	39;	21651;	0.485553;	0.483858;	15224;	196;	480;	480
4;	38;	21717;	0.483625;	0.484413;	19;	409;	513;	491
3;	39;	21765;	0.485553;	0.485045;	19517;	184;	480;	474
6;	36;	21694;	0.479139;	0.482345;	210;	345;	483;	481
3;	39;	21737;	0.485553;	0.489396;	72255;	111;	505;	483
5;	37;	21752;	0.481493;	0.476876;	0;	553;	553;	493
2;	40;	21807;	0.487291;	0.485165;	15;	422;	468;	466
2;	40;	22001;	0.487291;	0.488160;	3997;	253;	491;	481
4;	38;	21470;	0.483625;	0.483093;	59;	377;	497;	455
3;	39;	22011;	0.485553;	0.487892;	18806;	187;	489;	479
5;	37;	21443;	0.481493;	0.486173;	4268;	248;	476;	452
2;	40;	21459;	0.487291;	0.485484;	8508;	218;	488;	468
5;	37;	21462;	0.481493;	0.481595;	3;	432;	458;	456
4;	38;	21572;	0.483625;	0.483126;	136;	357;	479;	471
3;	39;	21676;	0.485553;	0.488236;	10776;	209;	555;	487
4;	38;	21709;	0.483625;	0.485237;	3623;	255;	483;	471
0;	42;	21719;	0.490257;	0.488006;	524287;	-10599;	461;	461
3;	39;	21847;	0.485553;	0.484323;	149;	352;	478;	476
6;	36;	21617;	0.479139;	0.480455;	0;	535;	535;	493
3;	39;	21779;	0.485553;	0.488360;	5864;	236;	490;	474
7;	35;	21596;	0.476545;	0.474440;	0;	527;	527;	501
4;	38;	21813;	0.483625;	0.484390;	7061;	229;	525;	491
7;	35;	21468;	0.476545;	0.476477;	0;	527;	527;	505
3;	39;	21746;	0.485553;	0.486618;	855;	305;	501;	491
9;	33;	21761;	0.470562;	0.467901;	0;	689;	689;	469
3;	39;	21967;	0.485553;	0.484682;	68;	375;	467;	463
1;	41;	21914;	0.488854;	0.491238;	10391;	214;	572;	472
2;	40;	21868;	0.487291;	0.487059;	162653;	51;	499;	485
5;	37;	21784;	0.481493;	0.481317;	3;	467;	513;	509
7;	35;	21669;	0.476545;	0.482348;	43;	389;	481;	461
8;	34;	21662;	0.473693;	0.464038;	0;	762;	762;	508
5;	37;	21493;	0.481493;	0.484716;	4;	436;	454;	444
4;	38;	21828;	0.483625;	0.483324;	125;	369;	495;	485
5;	37;	21655;	0.481493;	0.482983;	35;	397;	517;	501
5;	37;	21934;	0.481493;	0.481900;	92;	368;	510;	506
5;	37;	21894;	0.481493;	0.485704;	1100;	298;	518;	470
3;	39;	21564;	0.485553;	0.487711;	2779;	262;	450;	438
3;	39;	21839;	0.485553;	0.487110;	96;	369;	493;	489
3;	39;	21710;	0.485553;	0.488392;	5098;	240;	550;	468
8;	34;	21565;	0.473693;	0.472061;	0;	641;	641;	465
5;	37;	21751;	0.481493;	0.484805;	524;	319;	547;	489
6;	36;	21662;	0.479139;	0.484304;	828;	303;	545;	513
5;	37;	21525;	0.481493;	0.478653;	54;	382;	488;	462
5;	37;	21670;	0.481493;	0.476973;	0;	648;	648;	468
2;	40;	21375;	0.487291;	0.489216;	1612;	281;	451;	441
10;	32;	21654;	0.467133;	0.472846;	0;	551;	551;	459
3;	39;	21687;	0.485553;	0.485683;	31;	398;	578;	470
6;	36;	21894;	0.479139;	0.479355;	338;	337;	567;	549
3;	39;	21668;	0.485553;	0.485278;	4277;	248;	454;	454
3;	39;	21810;	0.485553;	0.486199;	387;	330;	504;	470
4;	38;	21716;	0.483625;	0.483514;	2038;	275;	477;	449
2;	40;	21739;	0.487291;	0.492479;	78059;	108;	488;	480
1;	41;	21599;	0.488854;	0.488634;	3847;	251;	471;	471
4;	38;	21777;	0.483625;	0.482895;	2635;	265;	473;	465
4;	38;	21816;	0.483625;	0.480061;	222;	343;	515;	487
9;	33;	21799;	0.470562;	0.469288;	0;	746;	746;	484
4;	38;	21670;	0.483625;	0.483479;	14714;	196;	514;	476
3;	39;	21613;	0.485553;	0.484431;	75;	377;	495;	483
4;	38;	21573;	0.483625;	0.484031;	4;	468;	494;	486
4;	38;	21986;	0.483625;	0.483717;	1648;	283;	485;	469
5;	37;	21548;	0.481493;	0.483989;	165;	351;	471;	463
1;	41;	21588;	0.488854;	0.489022;	1289;	288;	540;	512
3;	39;	21533;	0.485553;	0.487484;	407;	325;	459;	445
3;	39;	21899;	0.485553;	0.482716;	2;	452;	456;	452
6;	36;	21517;	0.479139;	0.481201;	1485;	285;	487;	477
5;	37;	21593;	0.481493;	0.477655;	363;	330;	462;	444
3;	39;	21901;	0.485553;	0.486051;	483;	322;	456;	456
2;	40;	21674;	0.487291;	0.486851;	289;	335;	495;	455
5;	37;	21641;	0.481493;	0.481031;	0;	481;	481;	479
3;	39;	21495;	0.485553;	0.482950;	67;	375;	469;	463
3;	39;	21724;	0.485553;	0.488814;	241;	339;	557;	479
1;	41;	21823;	0.488854;	0.485130;	677;	315;	485;	483
3;	39;	21748;	0.485553;	0.480964;	10;	434;	520;	508
3;	39;	21664;	0.485553;	0.484490;	20;	411;	499;	477
5;	37;	21546;	0.481493;	0.480368;	20;	412;	536;	496
4;	38;	21719;	0.483625;	0.481053;	35;	393;	525;	451
3;	39;	21567;	0.485553;	0.481198;	2;	464;	508;	486
2;	40;	21567;	0.487291;	0.483192;	129;	357;	487;	473
5;	37;	21889;	0.481493;	0.477683;	867;	305;	521;	451
3;	39;	21733;	0.485553;	0.489072;	2915;	264;	460;	460
3;	39;	21732;	0.485553;	0.487576;	22905;	175;	515;	463
6;	36;	21564;	0.479139;	0.476349;	0;	519;	519;	485
4;	38;	21521;	0.483625;	0.479996;	13;	424;	498;	474
6;	36;	21858;	0.479139;	0.480922;	3;	470;	522;	484
3;	39;	21946;	0.485553;	0.490932;	6502;	234;	480;	468
4;	38;	21516;	0.483625;	0.487869;	44518;	140;	482;	474
2;	40;	21739;	0.487291;	0.486223;	68854;	115;	523;	509
6;	36;	21857;	0.479139;	0.480029;	95;	366;	478;	468
4;	38;	21565;	0.483625;	0.480594;	15;	416;	506;	486
2;	40;	21826;	0.487291;	0.493906;	129286;	70;	482;	476
5;	37;	21784;	0.481493;	0.481225;	15;	411;	523;	467
5;	37;	21657;	0.481493;	0.488618;	3871;	252;	450;	446
4;	38;	21564;	0.483625;	0.477694;	3;	487;	515;	491
5;	37;	21710;	0.481493;	0.477015;	4;	456;	486;	474
6;	36;	21719;	0.479139;	0.485888;	22860;	177;	489;	477
4;	38;	21679;	0.483625;	0.486139;	135;	354;	494;	474
6;	36;	21661;	0.479139;	0.478048;	0;	481;	481;	439
3;	39;	21789;	0.485553;	0.478911;	0;	483;	483;	459
3;	39;	21417;	0.485553;	0.488864;	9616;	216;	482;	454
0;	42;	21634;	0.490257;	0.487612;	524287;	-10549;	489;	451
3;	39;	21685;	0.485553;	0.479963;	5;	471;	491;	481
5;	37;	21526;	0.481493;	0.483787;	0;	485;	485;	471
5;	37;	21722;	0.481493;	0.478271;	31;	398;	484;	458
