|e_P|;	|e_N|;	N;	theoretical bias;	practical bias;	position of e_P in L;	\hat{f}(e_P);	\hat{f}(L[0]);	\hat{f}(L[1])
4;	1219;	1031508;	0.497080;	0.497284;	0;	2783;	2783;	2579
7;	1216;	1031267;	0.496980;	0.496935;	0;	3076;	3076;	2538
8;	1215;	1031119;	0.496946;	0.496878;	0;	3231;	3231;	2545
8;	1215;	1031043;	0.496946;	0.497009;	0;	3057;	3057;	2695
10;	1213;	1031019;	0.496878;	0.497166;	0;	2994;	2994;	2476
10;	1213;	1031178;	0.496878;	0.496340;	0;	3723;	3723;	2389
4;	1219;	1031400;	0.497080;	0.497118;	0;	2973;	2973;	2325
9;	1214;	1031388;	0.496912;	0.496385;	0;	3684;	3684;	2392
8;	1215;	1031126;	0.496946;	0.497481;	0;	2621;	2621;	2323
8;	1215;	1031271;	0.496946;	0.496152;	0;	3996;	3996;	2552
8;	1215;	1031303;	0.496946;	0.497226;	0;	2842;	2842;	2574
11;	1212;	1031489;	0.496843;	0.496024;	0;	3972;	3972;	2348
10;	1213;	1031238;	0.496878;	0.497141;	0;	2902;	2902;	2436
7;	1216;	1031220;	0.496980;	0.497320;	0;	2771;	2771;	2401
5;	1218;	1031249;	0.497047;	0.497345;	0;	2705;	2705;	2667
10;	1213;	1031278;	0.496878;	0.496990;	0;	3129;	3129;	2301
6;	1217;	1031370;	0.497014;	0.497062;	0;	3131;	3131;	2371
8;	1215;	1031097;	0.496946;	0.496655;	0;	3439;	3439;	2439
7;	1216;	1031418;	0.496980;	0.496869;	0;	3165;	3165;	2423
8;	1215;	1031402;	0.496946;	0.497243;	0;	2857;	2857;	2441
9;	1214;	1031352;	0.496912;	0.495970;	0;	4084;	4084;	2398
7;	1216;	1031120;	0.496980;	0.496637;	0;	3473;	3473;	2551
8;	1215;	1031384;	0.496946;	0.496859;	0;	3269;	3269;	2353
10;	1213;	1031099;	0.496878;	0.496140;	0;	4077;	4077;	2371
5;	1218;	1031224;	0.497047;	0.497356;	0;	2750;	2750;	2636
8;	1215;	1031425;	0.496946;	0.496900;	0;	3195;	3195;	2485
9;	1214;	1031291;	0.496912;	0.497120;	0;	2929;	2929;	2539
5;	1218;	1031142;	0.497047;	0.497165;	0;	3069;	3069;	2985
8;	1215;	1031213;	0.496946;	0.497007;	0;	3031;	3031;	2487
12;	1211;	1031380;	0.496808;	0.495948;	0;	4178;	4178;	2728
9;	1214;	1031223;	0.496912;	0.497090;	0;	3061;	3061;	2437
7;	1216;	1031219;	0.496980;	0.497169;	0;	3015;	3015;	2391
6;	1217;	1031285;	0.497014;	0.497258;	0;	2786;	2786;	2588
5;	1218;	1031192;	0.497047;	0.497578;	0;	2550;	2550;	2400
9;	1214;	1031238;	0.496912;	0.497056;	0;	3031;	3031;	2445
11;	1212;	1031317;	0.496843;	0.497298;	0;	2730;	2730;	2434
7;	1216;	1031146;	0.496980;	0.497704;	1;	2266;	2330;	2266
9;	1214;	1031293;	0.496912;	0.496538;	0;	3475;	3475;	2541
8;	1215;	1031059;	0.496946;	0.496338;	0;	3789;	3789;	2361
9;	1214;	1031046;	0.496912;	0.495847;	0;	4251;	4251;	2509
9;	1214;	1031288;	0.496912;	0.496518;	0;	3649;	3649;	2537
8;	1215;	1031089;	0.496946;	0.496836;	0;	3364;	3364;	3266
7;	1216;	1031307;	0.496980;	0.498031;	26;	2090;	2620;	2560
7;	1216;	1031266;	0.496980;	0.496307;	0;	3697;	3697;	2563
10;	1213;	1031312;	0.496878;	0.496422;	0;	3636;	3636;	2512
5;	1218;	1031280;	0.497047;	0.496666;	0;	3427;	3427;	2481
9;	1214;	1031162;	0.496912;	0.496591;	0;	3558;	3558;	2402
9;	1214;	1031123;	0.496912;	0.497562;	1;	2498;	2712;	2498
11;	1212;	1031240;	0.496843;	0.497355;	0;	2737;	2737;	2375
9;	1214;	1031178;	0.496912;	0.496718;	0;	3335;	3335;	2463
7;	1216;	1030969;	0.496980;	0.496909;	0;	3109;	3109;	2417
7;	1216;	1031365;	0.496980;	0.496449;	0;	3603;	3603;	2329
6;	1217;	1031082;	0.497014;	0.497127;	0;	2942;	2942;	2834
6;	1217;	1031170;	0.497014;	0.497588;	1;	2410;	2466;	2410
8;	1215;	1031377;	0.496946;	0.497668;	3;	2453;	2649;	2469
11;	1212;	1031167;	0.496843;	0.496505;	0;	3556;	3556;	2512
5;	1218;	1031180;	0.497047;	0.497326;	0;	2770;	2770;	2538
13;	1210;	1031274;	0.496773;	0.496915;	0;	3090;	3090;	2520
9;	1214;	1031240;	0.496912;	0.497176;	0;	2794;	2794;	2386
9;	1214;	1031113;	0.496912;	0.495811;	0;	4236;	4236;	2652
6;	1217;	1031298;	0.497014;	0.496836;	0;	3291;	3291;	2511
11;	1212;	1031316;	0.496843;	0.496589;	0;	3449;	3449;	2457
3;	1220;	1031216;	0.497113;	0.496545;	0;	3584;	3584;	2454
5;	1218;	1031340;	0.497047;	0.496213;	0;	3936;	3936;	2522
9;	1214;	1031301;	0.496912;	0.496744;	0;	3372;	3372;	2384
7;	1216;	1031140;	0.496980;	0.497094;	0;	3040;	3040;	2500
9;	1214;	1031156;	0.496912;	0.496734;	0;	3520;	3520;	2384
9;	1214;	1031234;	0.496912;	0.497160;	0;	2903;	2903;	2665
7;	1216;	1031271;	0.496980;	0.496975;	0;	3109;	3109;	2577
6;	1217;	1031153;	0.497014;	0.496583;	0;	3563;	3563;	2459
6;	1217;	1031271;	0.497014;	0.497390;	0;	2807;	2807;	2467
12;	1211;	1031199;	0.496808;	0.497064;	0;	3134;	3134;	2476
9;	1214;	1031437;	0.496912;	0.497187;	0;	2928;	2928;	2584
8;	1215;	1031305;	0.496946;	0.496515;	0;	3632;	3632;	2896
13;	1210;	1031009;	0.496773;	0.496969;	0;	3204;	3204;	2514
10;	1213;	1031142;	0.496878;	0.496274;	0;	3879;	3879;	2739
8;	1215;	1031229;	0.496946;	0.497082;	0;	2933;	2933;	2417
12;	1211;	1031210;	0.496808;	0.496280;	0;	3906;	3906;	2526
8;	1215;	1031295;	0.496946;	0.497443;	1;	2608;	2686;	2608
11;	1212;	1031099;	0.496843;	0.496052;	0;	4023;	4023;	2381
10;	1213;	1031252;	0.496878;	0.496918;	0;	3191;	3191;	2675
6;	1217;	1031146;	0.497014;	0.496639;	0;	3558;	3558;	2440
11;	1212;	1030956;	0.496843;	0.497280;	0;	2843;	2843;	2507
7;	1216;	1031039;	0.496980;	0.497239;	0;	2903;	2903;	2479
12;	1211;	1031221;	0.496808;	0.497427;	0;	2708;	2708;	2660
11;	1212;	1031452;	0.496843;	0.496053;	0;	4025;	4025;	2627
16;	1207;	1031350;	0.496666;	0.496165;	0;	3814;	3814;	2414
11;	1212;	1031247;	0.496843;	0.496775;	0;	3282;	3282;	2730
11;	1212;	1031387;	0.496843;	0.497057;	0;	2993;	2993;	2551
9;	1214;	1031375;	0.496912;	0.497572;	1;	2517;	2519;	2517
7;	1216;	1031294;	0.496980;	0.496471;	0;	3695;	3695;	2459
10;	1213;	1031461;	0.496878;	0.497799;	7;	2234;	2614;	2382
7;	1216;	1031204;	0.496980;	0.496702;	0;	3397;	3397;	2397
10;	1213;	1031240;	0.496878;	0.496334;	0;	3800;	3800;	2608
7;	1216;	1031246;	0.496980;	0.497241;	0;	2820;	2820;	2412
8;	1215;	1031098;	0.496946;	0.497186;	0;	2924;	2924;	2786
6;	1217;	1031196;	0.497014;	0.497324;	0;	2798;	2798;	2432
7;	1216;	1031327;	0.496980;	0.496076;	0;	3963;	3963;	2499
9;	1214;	1031054;	0.496912;	0.497473;	0;	2680;	2680;	2468
9;	1214;	1031344;	0.496912;	0.496424;	0;	3721;	3721;	2309
8;	1215;	1031124;	0.496946;	0.496722;	0;	3459;	3459;	2339
9;	1214;	1031207;	0.496912;	0.497363;	0;	2749;	2749;	2479
7;	1216;	1031378;	0.496980;	0.496671;	0;	3487;	3487;	2489
7;	1216;	1031150;	0.496980;	0.496823;	0;	3314;	3314;	2498
10;	1213;	1031369;	0.496878;	0.497097;	0;	2979;	2979;	2483
13;	1210;	1031087;	0.496773;	0.497470;	0;	2580;	2580;	2338
8;	1215;	1031217;	0.496946;	0.496914;	0;	3213;	3213;	2633
6;	1217;	1031186;	0.497014;	0.496649;	0;	3505;	3505;	2409
13;	1210;	1031228;	0.496773;	0.496930;	0;	3149;	3149;	2535
8;	1215;	1031231;	0.496946;	0.496308;	0;	3779;	3779;	2517
6;	1217;	1031142;	0.497014;	0.496978;	0;	3136;	3136;	2350
12;	1211;	1031399;	0.496808;	0.496248;	0;	3904;	3904;	2492
14;	1209;	1031247;	0.496738;	0.495700;	0;	4442;	4442;	2754
8;	1215;	1031435;	0.496946;	0.497006;	0;	3127;	3127;	2323
4;	1219;	1031149;	0.497080;	0.496629;	0;	3462;	3462;	2538
8;	1215;	1031113;	0.496946;	0.496157;	0;	4048;	4048;	2480
7;	1216;	1031230;	0.496980;	0.496578;	0;	3536;	3536;	2688
10;	1213;	1031448;	0.496878;	0.496868;	0;	3268;	3268;	2484
11;	1212;	1031326;	0.496843;	0.496989;	0;	3042;	3042;	2450
7;	1216;	1031414;	0.496980;	0.496386;	0;	3721;	3721;	2651
5;	1218;	1030949;	0.497047;	0.497407;	0;	2639;	2639;	2401
7;	1216;	1031306;	0.496980;	0.497388;	0;	2692;	2692;	2482
8;	1215;	1031180;	0.496946;	0.496399;	0;	3625;	3625;	2403
6;	1217;	1031295;	0.497014;	0.496692;	0;	3391;	3391;	2543
