u; threshold; nb iterations per decoding; nb decoding; nb good decoding; rate of good decoding; nb bad decoding; (*); (**)
16 ; 2600 ; 194 ; 2061 ; 1342 ; 0.651140223192625 ; 719 ; 279 ; 517
16 ; 2600 ; 214 ; 1869 ; 1225 ; 0.6554307116104869 ; 644 ; 196 ; 510
16 ; 2600 ; 234 ; 1709 ; 1114 ; 0.6518431831480398 ; 595 ; 154 ; 486
16 ; 2600 ; 254 ; 1574 ; 1021 ; 0.6486658195679796 ; 553 ; 120 ; 476
16 ; 2600 ; 274 ; 1459 ; 939 ; 0.6435915010281015 ; 520 ; 87 ; 461
16 ; 2600 ; 294 ; 1360 ; 865 ; 0.6360294117647058 ; 495 ; 76 ; 450
16 ; 2600 ; 314 ; 1273 ; 795 ; 0.624509033778476 ; 478 ; 62 ; 440
16 ; 2600 ; 334 ; 1197 ; 746 ; 0.6232247284878863 ; 451 ; 47 ; 424
16 ; 2600 ; 354 ; 1129 ; 684 ; 0.6058458813108946 ; 445 ; 28 ; 427
16 ; 2600 ; 374 ; 1069 ; 643 ; 0.6014967259120674 ; 426 ; 24 ; 408
16 ; 2600 ; 394 ; 1015 ; 602 ; 0.593103448275862 ; 413 ; 23 ; 401
16 ; 2700 ; 194 ; 2061 ; 1461 ; 0.7088791848617176 ; 600 ; 279 ; 373
16 ; 2700 ; 214 ; 1869 ; 1349 ; 0.7217763509898342 ; 520 ; 196 ; 367
16 ; 2700 ; 234 ; 1709 ; 1239 ; 0.7249853715623171 ; 470 ; 154 ; 351
16 ; 2700 ; 254 ; 1574 ; 1143 ; 0.7261753494282084 ; 431 ; 120 ; 343
16 ; 2700 ; 274 ; 1459 ; 1058 ; 0.7251542152159013 ; 401 ; 87 ; 332
16 ; 2700 ; 294 ; 1360 ; 981 ; 0.7213235294117647 ; 379 ; 76 ; 324
16 ; 2700 ; 314 ; 1273 ; 908 ; 0.7132757266300078 ; 365 ; 62 ; 318
16 ; 2700 ; 334 ; 1197 ; 855 ; 0.7142857142857143 ; 342 ; 47 ; 310
16 ; 2700 ; 354 ; 1129 ; 799 ; 0.7077059344552702 ; 330 ; 28 ; 307
16 ; 2700 ; 374 ; 1069 ; 753 ; 0.7043966323666978 ; 316 ; 24 ; 297
16 ; 2700 ; 394 ; 1015 ; 701 ; 0.69064039408867 ; 314 ; 23 ; 296
16 ; 2800 ; 194 ; 2061 ; 1550 ; 0.7520621057738962 ; 511 ; 279 ; 271
16 ; 2800 ; 214 ; 1869 ; 1439 ; 0.7699304440877475 ; 430 ; 196 ; 267
16 ; 2800 ; 234 ; 1709 ; 1325 ; 0.77530719719134 ; 384 ; 154 ; 252
16 ; 2800 ; 254 ; 1574 ; 1230 ; 0.7814485387547649 ; 344 ; 120 ; 251
16 ; 2800 ; 274 ; 1459 ; 1140 ; 0.7813570938999315 ; 319 ; 87 ; 244
16 ; 2800 ; 294 ; 1360 ; 1059 ; 0.7786764705882353 ; 301 ; 76 ; 241
16 ; 2800 ; 314 ; 1273 ; 982 ; 0.7714061272584446 ; 291 ; 62 ; 239
16 ; 2800 ; 334 ; 1197 ; 929 ; 0.7761069340016709 ; 268 ; 47 ; 231
16 ; 2800 ; 354 ; 1129 ; 875 ; 0.775022143489814 ; 254 ; 28 ; 231
16 ; 2800 ; 374 ; 1069 ; 829 ; 0.775491113189897 ; 240 ; 24 ; 220
16 ; 2800 ; 394 ; 1015 ; 775 ; 0.7635467980295566 ; 240 ; 23 ; 220
17 ; 2600 ; 54 ; 7407 ; 5745 ; 0.7756176589712435 ; 1662 ; 1100 ; 689
17 ; 2600 ; 74 ; 5405 ; 4395 ; 0.81313598519889 ; 1010 ; 417 ; 664
17 ; 2600 ; 94 ; 4255 ; 3503 ; 0.8232667450058755 ; 752 ; 157 ; 628
17 ; 2600 ; 114 ; 3508 ; 2859 ; 0.814994298745724 ; 649 ; 71 ; 595
17 ; 2600 ; 134 ; 2985 ; 2394 ; 0.8020100502512563 ; 591 ; 26 ; 574
17 ; 2600 ; 154 ; 2597 ; 2043 ; 0.7866769349249133 ; 554 ; 6 ; 550
17 ; 2600 ; 174 ; 2298 ; 1761 ; 0.7663185378590078 ; 537 ; 7 ; 535
17 ; 2600 ; 194 ; 2061 ; 1544 ; 0.7491508976225133 ; 517 ; 1 ; 517
17 ; 2600 ; 214 ; 1869 ; 1359 ; 0.7271268057784912 ; 510 ; 1 ; 510
17 ; 2600 ; 234 ; 1709 ; 1223 ; 0.7156231714452896 ; 486 ; 0 ; 486
17 ; 2600 ; 254 ; 1574 ; 1098 ; 0.6975857687420585 ; 476 ; 0 ; 476
17 ; 2700 ; 54 ; 7407 ; 5866 ; 0.7919535574456595 ; 1541 ; 1165 ; 468
17 ; 2700 ; 74 ; 5405 ; 4561 ; 0.8438482886216466 ; 844 ; 446 ; 456
17 ; 2700 ; 94 ; 4255 ; 3676 ; 0.8639247943595769 ; 579 ; 171 ; 436
17 ; 2700 ; 114 ; 3508 ; 3026 ; 0.862599771949829 ; 482 ; 80 ; 417
17 ; 2700 ; 134 ; 2985 ; 2558 ; 0.8569514237855946 ; 427 ; 31 ; 405
17 ; 2700 ; 154 ; 2597 ; 2200 ; 0.8471313053523296 ; 397 ; 9 ; 390
17 ; 2700 ; 174 ; 2298 ; 1911 ; 0.8315926892950392 ; 387 ; 7 ; 383
17 ; 2700 ; 194 ; 2061 ; 1687 ; 0.8185346918971373 ; 374 ; 3 ; 373
17 ; 2700 ; 214 ; 1869 ; 1501 ; 0.803103263777421 ; 368 ; 2 ; 367
17 ; 2700 ; 234 ; 1709 ; 1358 ; 0.7946167349327092 ; 351 ; 1 ; 351
17 ; 2700 ; 254 ; 1574 ; 1231 ; 0.7820838627700127 ; 343 ; 0 ; 343
17 ; 2800 ; 54 ; 7407 ; 5773 ; 0.7793978668826785 ; 1634 ; 1369 ; 331
17 ; 2800 ; 74 ; 5405 ; 4568 ; 0.8451433857539316 ; 837 ; 552 ; 329
17 ; 2800 ; 94 ; 4255 ; 3744 ; 0.8799059929494712 ; 511 ; 225 ; 310
17 ; 2800 ; 114 ; 3508 ; 3120 ; 0.8893956670467503 ; 388 ; 105 ; 298
17 ; 2800 ; 134 ; 2985 ; 2651 ; 0.888107202680067 ; 334 ; 45 ; 298
17 ; 2800 ; 154 ; 2597 ; 2304 ; 0.8871775125144398 ; 293 ; 16 ; 281
17 ; 2800 ; 174 ; 2298 ; 2008 ; 0.8738033072236727 ; 290 ; 12 ; 282
17 ; 2800 ; 194 ; 2061 ; 1786 ; 0.8665696263949539 ; 275 ; 5 ; 271
17 ; 2800 ; 214 ; 1869 ; 1601 ; 0.8566078116639915 ; 268 ; 2 ; 267
17 ; 2800 ; 234 ; 1709 ; 1457 ; 0.8525453481568168 ; 252 ; 1 ; 252
17 ; 2800 ; 254 ; 1574 ; 1323 ; 0.8405336721728082 ; 251 ; 0 ; 251
