u; threshold; nb iterations per decoding; nb decoding; nb good decoding; rate of good decoding; nb bad decoding; (*); (**)
57 ; 510 ; 367 ; 435 ; 245 ; 0.5632183908045977 ; 190 ; 109 ; 113
57 ; 510 ; 387 ; 413 ; 244 ; 0.5907990314769975 ; 169 ; 90 ; 107
57 ; 510 ; 407 ; 393 ; 230 ; 0.5852417302798982 ; 163 ; 89 ; 105
57 ; 510 ; 427 ; 374 ; 213 ; 0.56951871657754 ; 161 ; 82 ; 107
57 ; 510 ; 447 ; 357 ; 203 ; 0.5686274509803921 ; 154 ; 72 ; 105
57 ; 510 ; 467 ; 342 ; 194 ; 0.5672514619883041 ; 148 ; 63 ; 100
57 ; 510 ; 487 ; 328 ; 188 ; 0.573170731707317 ; 140 ; 52 ; 104
57 ; 510 ; 507 ; 315 ; 185 ; 0.5873015873015873 ; 130 ; 49 ; 99
57 ; 510 ; 527 ; 303 ; 180 ; 0.594059405940594 ; 123 ; 40 ; 96
57 ; 510 ; 547 ; 292 ; 177 ; 0.6061643835616438 ; 115 ; 36 ; 95
57 ; 510 ; 567 ; 282 ; 164 ; 0.5815602836879432 ; 118 ; 34 ; 96
57 ; 520 ; 367 ; 435 ; 252 ; 0.5793103448275863 ; 183 ; 127 ; 79
57 ; 520 ; 387 ; 413 ; 255 ; 0.6174334140435835 ; 158 ; 107 ; 76
57 ; 520 ; 407 ; 393 ; 233 ; 0.5928753180661578 ; 160 ; 107 ; 75
57 ; 520 ; 427 ; 374 ; 224 ; 0.5989304812834224 ; 150 ; 97 ; 76
57 ; 520 ; 447 ; 357 ; 216 ; 0.6050420168067226 ; 141 ; 81 ; 76
57 ; 520 ; 467 ; 342 ; 209 ; 0.6111111111111112 ; 133 ; 75 ; 71
57 ; 520 ; 487 ; 328 ; 202 ; 0.6158536585365854 ; 126 ; 64 ; 75
57 ; 520 ; 507 ; 315 ; 199 ; 0.6317460317460317 ; 116 ; 61 ; 71
57 ; 520 ; 527 ; 303 ; 193 ; 0.636963696369637 ; 110 ; 53 ; 70
57 ; 520 ; 547 ; 292 ; 185 ; 0.6335616438356164 ; 107 ; 50 ; 69
57 ; 520 ; 567 ; 282 ; 176 ; 0.624113475177305 ; 106 ; 44 ; 72
57 ; 530 ; 367 ; 435 ; 247 ; 0.5678160919540229 ; 188 ; 156 ; 49
57 ; 530 ; 387 ; 413 ; 252 ; 0.6101694915254238 ; 161 ; 134 ; 47
57 ; 530 ; 407 ; 393 ; 229 ; 0.5826972010178118 ; 164 ; 136 ; 45
57 ; 530 ; 427 ; 374 ; 225 ; 0.6016042780748663 ; 149 ; 116 ; 47
57 ; 530 ; 447 ; 357 ; 223 ; 0.6246498599439776 ; 134 ; 98 ; 48
57 ; 530 ; 467 ; 342 ; 213 ; 0.6228070175438597 ; 129 ; 94 ; 44
57 ; 530 ; 487 ; 328 ; 210 ; 0.6402439024390244 ; 118 ; 85 ; 44
57 ; 530 ; 507 ; 315 ; 208 ; 0.6603174603174603 ; 107 ; 78 ; 44
57 ; 530 ; 527 ; 303 ; 202 ; 0.6666666666666666 ; 101 ; 69 ; 42
57 ; 530 ; 547 ; 292 ; 195 ; 0.6678082191780822 ; 97 ; 64 ; 42
57 ; 530 ; 567 ; 282 ; 188 ; 0.6666666666666666 ; 94 ; 59 ; 43
58 ; 510 ; 99 ; 1616 ; 916 ; 0.5668316831683168 ; 700 ; 613 ; 161
58 ; 510 ; 119 ; 1344 ; 819 ; 0.609375 ; 525 ; 428 ; 153
58 ; 510 ; 139 ; 1151 ; 738 ; 0.6411815812337098 ; 413 ; 312 ; 153
58 ; 510 ; 159 ; 1006 ; 679 ; 0.6749502982107356 ; 327 ; 221 ; 144
58 ; 510 ; 179 ; 893 ; 625 ; 0.6998880179171333 ; 268 ; 161 ; 139
58 ; 510 ; 199 ; 804 ; 572 ; 0.7114427860696517 ; 232 ; 123 ; 134
58 ; 510 ; 219 ; 730 ; 532 ; 0.7287671232876712 ; 198 ; 90 ; 130
58 ; 510 ; 239 ; 669 ; 490 ; 0.7324364723467862 ; 179 ; 73 ; 127
58 ; 510 ; 259 ; 617 ; 449 ; 0.7277147487844409 ; 168 ; 60 ; 126
58 ; 510 ; 279 ; 573 ; 421 ; 0.7347294938917975 ; 152 ; 41 ; 123
58 ; 510 ; 299 ; 535 ; 394 ; 0.7364485981308411 ; 141 ; 33 ; 116
58 ; 520 ; 99 ; 1616 ; 798 ; 0.4938118811881188 ; 818 ; 763 ; 111
58 ; 520 ; 119 ; 1344 ; 741 ; 0.5513392857142857 ; 603 ; 549 ; 104
58 ; 520 ; 139 ; 1151 ; 673 ; 0.5847089487402259 ; 478 ; 415 ; 104
58 ; 520 ; 159 ; 1006 ; 644 ; 0.6401590457256461 ; 362 ; 300 ; 99
58 ; 520 ; 179 ; 893 ; 589 ; 0.6595744680851063 ; 304 ; 234 ; 97
58 ; 520 ; 199 ; 804 ; 543 ; 0.6753731343283582 ; 261 ; 193 ; 95
58 ; 520 ; 219 ; 730 ; 515 ; 0.7054794520547946 ; 215 ; 146 ; 91
58 ; 520 ; 239 ; 669 ; 480 ; 0.7174887892376681 ; 189 ; 121 ; 90
58 ; 520 ; 259 ; 617 ; 452 ; 0.7325769854132901 ; 165 ; 97 ; 85
58 ; 520 ; 279 ; 573 ; 426 ; 0.743455497382199 ; 147 ; 74 ; 87
58 ; 520 ; 299 ; 535 ; 398 ; 0.7439252336448599 ; 137 ; 63 ; 83
58 ; 530 ; 99 ; 1616 ; 671 ; 0.4152227722772277 ; 945 ; 918 ; 65
58 ; 530 ; 119 ; 1344 ; 631 ; 0.4694940476190476 ; 713 ; 682 ; 63
58 ; 530 ; 139 ; 1151 ; 582 ; 0.5056472632493484 ; 569 ; 539 ; 66
58 ; 530 ; 159 ; 1006 ; 566 ; 0.562624254473161 ; 440 ; 408 ; 58
58 ; 530 ; 179 ; 893 ; 534 ; 0.5979843225083986 ; 359 ; 321 ; 57
58 ; 530 ; 199 ; 804 ; 498 ; 0.6194029850746269 ; 306 ; 273 ; 58
58 ; 530 ; 219 ; 730 ; 480 ; 0.6575342465753424 ; 250 ; 215 ; 55
58 ; 530 ; 239 ; 669 ; 451 ; 0.6741405082212257 ; 218 ; 179 ; 57
58 ; 530 ; 259 ; 617 ; 431 ; 0.6985413290113452 ; 186 ; 151 ; 51
58 ; 530 ; 279 ; 573 ; 403 ; 0.7033158813263525 ; 170 ; 128 ; 55
58 ; 530 ; 299 ; 535 ; 392 ; 0.7327102803738318 ; 143 ; 106 ; 53
59 ; 510 ; 36 ; 4444 ; 1487 ; 0.3346084608460846 ; 2957 ; 2905 ; 187
59 ; 510 ; 56 ; 2857 ; 1288 ; 0.45082254112705633 ; 1569 ; 1498 ; 176
59 ; 510 ; 76 ; 2105 ; 1146 ; 0.5444180522565321 ; 959 ; 871 ; 168
59 ; 510 ; 96 ; 1666 ; 1006 ; 0.6038415366146459 ; 660 ; 561 ; 161
59 ; 510 ; 116 ; 1379 ; 906 ; 0.6569978245105149 ; 473 ; 370 ; 157
59 ; 510 ; 136 ; 1176 ; 796 ; 0.6768707482993197 ; 380 ; 274 ; 149
59 ; 510 ; 156 ; 1025 ; 727 ; 0.7092682926829268 ; 298 ; 188 ; 143
59 ; 510 ; 176 ; 909 ; 665 ; 0.7315731573157316 ; 244 ; 132 ; 137
59 ; 510 ; 196 ; 816 ; 596 ; 0.7303921568627451 ; 220 ; 104 ; 140
59 ; 510 ; 216 ; 740 ; 555 ; 0.75 ; 185 ; 74 ; 131
59 ; 510 ; 236 ; 677 ; 510 ; 0.7533234859675036 ; 167 ; 56 ; 127
59 ; 520 ; 36 ; 4444 ; 1168 ; 0.26282628262826285 ; 3276 ; 3254 ; 120
59 ; 520 ; 56 ; 2857 ; 1034 ; 0.36191809590479523 ; 1823 ; 1789 ; 117
59 ; 520 ; 76 ; 2105 ; 957 ; 0.4546318289786223 ; 1148 ; 1103 ; 115
59 ; 520 ; 96 ; 1666 ; 859 ; 0.5156062424969988 ; 807 ; 752 ; 108
59 ; 520 ; 116 ; 1379 ; 796 ; 0.5772298767222626 ; 583 ; 525 ; 107
59 ; 520 ; 136 ; 1176 ; 721 ; 0.6130952380952381 ; 455 ; 394 ; 105
59 ; 520 ; 156 ; 1025 ; 662 ; 0.6458536585365854 ; 363 ; 300 ; 100
59 ; 520 ; 176 ; 909 ; 617 ; 0.6787678767876788 ; 292 ; 220 ; 95
59 ; 520 ; 196 ; 816 ; 561 ; 0.6875 ; 255 ; 182 ; 97
59 ; 520 ; 216 ; 740 ; 536 ; 0.7243243243243244 ; 204 ; 131 ; 93
59 ; 520 ; 236 ; 677 ; 493 ; 0.7282127031019202 ; 184 ; 112 ; 91
59 ; 530 ; 36 ; 4444 ; 877 ; 0.19734473447344736 ; 3567 ; 3559 ; 68
59 ; 530 ; 56 ; 2857 ; 798 ; 0.2793139656982849 ; 2059 ; 2041 ; 69
59 ; 530 ; 76 ; 2105 ; 753 ; 0.35771971496437055 ; 1352 ; 1331 ; 66
59 ; 530 ; 96 ; 1666 ; 706 ; 0.4237695078031212 ; 960 ; 937 ; 65
59 ; 530 ; 116 ; 1379 ; 666 ; 0.48295866569978246 ; 713 ; 685 ; 65
59 ; 530 ; 136 ; 1176 ; 606 ; 0.5153061224489796 ; 570 ; 535 ; 63
59 ; 530 ; 156 ; 1025 ; 575 ; 0.5609756097560976 ; 450 ; 413 ; 62
59 ; 530 ; 176 ; 909 ; 547 ; 0.6017601760176018 ; 362 ; 321 ; 60
59 ; 530 ; 196 ; 816 ; 514 ; 0.6299019607843137 ; 302 ; 262 ; 59
59 ; 530 ; 216 ; 740 ; 487 ; 0.6581081081081082 ; 253 ; 212 ; 56
59 ; 530 ; 236 ; 677 ; 449 ; 0.6632200886262924 ; 228 ; 187 ; 57
